Epoch, Batch, Loss
[1/1],[620/938],1.5029
[1/1],[621/938],1.4725
[1/1],[622/938],1.4910
[1/1],[623/938],1.4985
[1/1],[624/938],1.4905
[1/1],[625/938],1.4711
[1/1],[626/938],1.4634
[1/1],[627/938],1.4826
[1/1],[628/938],1.5035
[1/1],[629/938],1.4903
[1/1],[630/938],1.4867
[1/1],[631/938],1.4643
[1/1],[632/938],1.4889
[1/1],[633/938],1.5278
[1/1],[634/938],1.5251
[1/1],[635/938],1.4783
[1/1],[636/938],1.5157
[1/1],[637/938],1.5004
[1/1],[638/938],1.4740
[1/1],[639/938],1.4938
[1/1],[640/938],1.4913
[1/1],[641/938],1.4978
[1/1],[642/938],1.5058
[1/1],[643/938],1.4648
[1/1],[644/938],1.5161
[1/1],[645/938],1.4782
[1/1],[646/938],1.4812
[1/1],[647/938],1.4672
[1/1],[648/938],1.4903
[1/1],[649/938],1.4741
[1/1],[650/938],1.4849
[1/1],[651/938],1.4689
[1/1],[652/938],1.4820
[1/1],[653/938],1.4712
[1/1],[654/938],1.4852
[1/1],[655/938],1.5053
[1/1],[656/938],1.4974
[1/1],[657/938],1.4936
[1/1],[658/938],1.4771
[1/1],[659/938],1.5128
[1/1],[660/938],1.4730
[1/1],[661/938],1.4943
[1/1],[662/938],1.4706
[1/1],[663/938],1.4646
[1/1],[664/938],1.4737
[1/1],[665/938],1.4891
[1/1],[666/938],1.4970
[1/1],[667/938],1.4913
[1/1],[668/938],1.4936
[1/1],[669/938],1.5032
[1/1],[670/938],1.4723
[1/1],[671/938],1.4860
[1/1],[672/938],1.4725
[1/1],[673/938],1.4963
[1/1],[674/938],1.4968
[1/1],[675/938],1.4808
[1/1],[676/938],1.4637
[1/1],[677/938],1.4932
[1/1],[678/938],1.4761
[1/1],[679/938],1.4793
[1/1],[680/938],1.5255
[1/1],[681/938],1.4865
[1/1],[682/938],1.4826
[1/1],[683/938],1.4908
[1/1],[684/938],1.4841
[1/1],[685/938],1.4631
[1/1],[686/938],1.4810
[1/1],[687/938],1.4823
[1/1],[688/938],1.4684
[1/1],[689/938],1.4625
[1/1],[690/938],1.4783
[1/1],[691/938],1.4641
[1/1],[692/938],1.4804
[1/1],[693/938],1.4912
[1/1],[694/938],1.4990
[1/1],[695/938],1.4870
[1/1],[696/938],1.4841
[1/1],[697/938],1.4692
[1/1],[698/938],1.4859
[1/1],[699/938],1.4662
[1/1],[700/938],1.4932
[1/1],[701/938],1.4840
[1/1],[702/938],1.5046
[1/1],[703/938],1.5387
[1/1],[704/938],1.5044
[1/1],[705/938],1.5140
[1/1],[706/938],1.4764
[1/1],[707/938],1.4748
[1/1],[708/938],1.4766
[1/1],[709/938],1.4862
[1/1],[710/938],1.4802
[1/1],[711/938],1.4750
[1/1],[712/938],1.4854
[1/1],[713/938],1.5051
[1/1],[714/938],1.4931
[1/1],[715/938],1.4892
[1/1],[716/938],1.4892
[1/1],[717/938],1.5210
[1/1],[718/938],1.4945
[1/1],[719/938],1.4797
[1/1],[720/938],1.4691
[1/1],[721/938],1.4831
[1/1],[722/938],1.4956
[1/1],[723/938],1.4927
[1/1],[724/938],1.4794
[1/1],[725/938],1.4797
[1/1],[726/938],1.4790
[1/1],[727/938],1.5034
[1/1],[728/938],1.4641
[1/1],[729/938],1.4847
[1/1],[730/938],1.4798
[1/1],[731/938],1.4942
[1/1],[732/938],1.4852
[1/1],[733/938],1.4681
[1/1],[734/938],1.4846
[1/1],[735/938],1.4794
[1/1],[736/938],1.5164
[1/1],[737/938],1.4971
[1/1],[738/938],1.5122
[1/1],[739/938],1.4807
[1/1],[740/938],1.4804
[1/1],[741/938],1.5079
[1/1],[742/938],1.5112
[1/1],[743/938],1.4749
[1/1],[744/938],1.4706
[1/1],[745/938],1.5001
[1/1],[746/938],1.4786
[1/1],[747/938],1.4872
[1/1],[748/938],1.4673
[1/1],[749/938],1.4760
[1/1],[750/938],1.4921
[1/1],[751/938],1.4892
[1/1],[752/938],1.5005
[1/1],[753/938],1.5016
[1/1],[754/938],1.4754
[1/1],[755/938],1.4646
[1/1],[756/938],1.4698
[1/1],[757/938],1.5069
[1/1],[758/938],1.4794
[1/1],[759/938],1.5146
[1/1],[760/938],1.4784
[1/1],[761/938],1.5195
[1/1],[762/938],1.4742
[1/1],[763/938],1.4973
[1/1],[764/938],1.4631
[1/1],[765/938],1.4799
[1/1],[766/938],1.5032
[1/1],[767/938],1.4690
[1/1],[768/938],1.4881
[1/1],[769/938],1.4747
[1/1],[770/938],1.4934
[1/1],[771/938],1.4848
[1/1],[772/938],1.4811
[1/1],[773/938],1.5049
[1/1],[774/938],1.5104
[1/1],[775/938],1.4625
[1/1],[776/938],1.4868
[1/1],[777/938],1.4861
[1/1],[778/938],1.4792
[1/1],[779/938],1.4942
[1/1],[780/938],1.5011
[1/1],[781/938],1.4819
[1/1],[782/938],1.4761
[1/1],[783/938],1.4687
[1/1],[784/938],1.4892
[1/1],[785/938],1.4999
[1/1],[786/938],1.4874
[1/1],[787/938],1.4659
[1/1],[788/938],1.4797
[1/1],[789/938],1.4780
[1/1],[790/938],1.4917
[1/1],[791/938],1.4643
[1/1],[792/938],1.4798
[1/1],[793/938],1.5038
[1/1],[794/938],1.4725
[1/1],[795/938],1.4959
[1/1],[796/938],1.4669
[1/1],[797/938],1.4851
[1/1],[798/938],1.4737
[1/1],[799/938],1.4764
[1/1],[800/938],1.4887
[1/1],[801/938],1.4917
[1/1],[802/938],1.4799
[1/1],[803/938],1.5055
[1/1],[804/938],1.4823
[1/1],[805/938],1.4813
[1/1],[806/938],1.4783
[1/1],[807/938],1.4924
[1/1],[808/938],1.5294
[1/1],[809/938],1.4760
[1/1],[810/938],1.4772
[1/1],[811/938],1.4963
[1/1],[812/938],1.4626
[1/1],[813/938],1.4864
[1/1],[814/938],1.4769
[1/1],[815/938],1.4783
[1/1],[816/938],1.4805
[1/1],[817/938],1.4795
[1/1],[818/938],1.4795
[1/1],[819/938],1.4953
[1/1],[820/938],1.4639
[1/1],[821/938],1.4769
[1/1],[822/938],1.4815
[1/1],[823/938],1.4802
[1/1],[824/938],1.5212
[1/1],[825/938],1.4648
[1/1],[826/938],1.4780
[1/1],[827/938],1.4722
[1/1],[828/938],1.5136
[1/1],[829/938],1.4930
[1/1],[830/938],1.4853
[1/1],[831/938],1.4820
[1/1],[832/938],1.4886
[1/1],[833/938],1.4803
[1/1],[834/938],1.4824
[1/1],[835/938],1.5181
[1/1],[836/938],1.4779
[1/1],[837/938],1.4741
[1/1],[838/938],1.4994
[1/1],[839/938],1.4659
[1/1],[840/938],1.4737
[1/1],[841/938],1.5000
[1/1],[842/938],1.4852
[1/1],[843/938],1.4889
[1/1],[844/938],1.4781
[1/1],[845/938],1.4677
[1/1],[846/938],1.4678
[1/1],[847/938],1.4675
[1/1],[848/938],1.4790
[1/1],[849/938],1.4626
[1/1],[850/938],1.4645
