Epoch, Batch, Loss
[1/1],[623/938],1.4830
[1/1],[624/938],1.4836
[1/1],[625/938],1.4793
[1/1],[626/938],1.4912
[1/1],[627/938],1.4944
[1/1],[628/938],1.4843
[1/1],[629/938],1.4910
[1/1],[630/938],1.5128
[1/1],[631/938],1.5251
[1/1],[632/938],1.4719
[1/1],[633/938],1.4940
[1/1],[634/938],1.4745
[1/1],[635/938],1.4805
[1/1],[636/938],1.5035
[1/1],[637/938],1.4790
[1/1],[638/938],1.4841
[1/1],[639/938],1.4719
[1/1],[640/938],1.4829
[1/1],[641/938],1.4621
[1/1],[642/938],1.4827
[1/1],[643/938],1.4960
[1/1],[644/938],1.4887
[1/1],[645/938],1.4980
[1/1],[646/938],1.4997
[1/1],[647/938],1.4734
[1/1],[648/938],1.4701
[1/1],[649/938],1.4743
[1/1],[650/938],1.4928
[1/1],[651/938],1.5100
[1/1],[652/938],1.4793
[1/1],[653/938],1.4686
[1/1],[654/938],1.4821
[1/1],[655/938],1.4765
[1/1],[656/938],1.4810
[1/1],[657/938],1.4751
[1/1],[658/938],1.4853
[1/1],[659/938],1.4805
[1/1],[660/938],1.4723
[1/1],[661/938],1.4807
[1/1],[662/938],1.4828
[1/1],[663/938],1.4796
[1/1],[664/938],1.4773
[1/1],[665/938],1.4693
[1/1],[666/938],1.4871
[1/1],[667/938],1.4642
[1/1],[668/938],1.4778
[1/1],[669/938],1.5181
[1/1],[670/938],1.4902
[1/1],[671/938],1.4755
[1/1],[672/938],1.4881
[1/1],[673/938],1.4891
[1/1],[674/938],1.4893
[1/1],[675/938],1.4619
[1/1],[676/938],1.4654
[1/1],[677/938],1.4632
[1/1],[678/938],1.4644
[1/1],[679/938],1.5188
[1/1],[680/938],1.4755
[1/1],[681/938],1.4722
[1/1],[682/938],1.4677
[1/1],[683/938],1.4791
[1/1],[684/938],1.4615
[1/1],[685/938],1.4617
[1/1],[686/938],1.4782
[1/1],[687/938],1.4897
[1/1],[688/938],1.4621
[1/1],[689/938],1.4819
[1/1],[690/938],1.4921
[1/1],[691/938],1.4933
[1/1],[692/938],1.4666
[1/1],[693/938],1.4800
[1/1],[694/938],1.5582
[1/1],[695/938],1.4656
[1/1],[696/938],1.5008
[1/1],[697/938],1.4748
[1/1],[698/938],1.4641
[1/1],[699/938],1.4791
[1/1],[700/938],1.4793
[1/1],[701/938],1.4800
[1/1],[702/938],1.4856
[1/1],[703/938],1.4822
[1/1],[704/938],1.4857
[1/1],[705/938],1.4868
[1/1],[706/938],1.4768
[1/1],[707/938],1.4800
[1/1],[708/938],1.4696
[1/1],[709/938],1.5085
[1/1],[710/938],1.4798
[1/1],[711/938],1.4783
[1/1],[712/938],1.4961
[1/1],[713/938],1.4764
[1/1],[714/938],1.4673
[1/1],[715/938],1.5048
[1/1],[716/938],1.4630
[1/1],[717/938],1.5057
[1/1],[718/938],1.4682
[1/1],[719/938],1.5086
[1/1],[720/938],1.4959
[1/1],[721/938],1.4781
[1/1],[722/938],1.4703
[1/1],[723/938],1.4676
[1/1],[724/938],1.4908
[1/1],[725/938],1.5265
[1/1],[726/938],1.4891
[1/1],[727/938],1.5198
[1/1],[728/938],1.4943
[1/1],[729/938],1.4851
[1/1],[730/938],1.4854
[1/1],[731/938],1.4661
[1/1],[732/938],1.4797
[1/1],[733/938],1.4932
[1/1],[734/938],1.4645
[1/1],[735/938],1.4786
[1/1],[736/938],1.4972
[1/1],[737/938],1.4921
[1/1],[738/938],1.4737
[1/1],[739/938],1.4710
[1/1],[740/938],1.4776
[1/1],[741/938],1.4658
[1/1],[742/938],1.4779
[1/1],[743/938],1.5010
[1/1],[744/938],1.4986
[1/1],[745/938],1.4723
[1/1],[746/938],1.4867
[1/1],[747/938],1.5381
[1/1],[748/938],1.4773
[1/1],[749/938],1.5085
[1/1],[750/938],1.4642
[1/1],[751/938],1.4649
[1/1],[752/938],1.4773
[1/1],[753/938],1.4838
[1/1],[754/938],1.4798
[1/1],[755/938],1.4627
[1/1],[756/938],1.5156
[1/1],[757/938],1.4622
[1/1],[758/938],1.4969
[1/1],[759/938],1.4691
